id_fornecedor,razao_social,nome_fantasia,cnpj,segmento,categoria_principal,porte,cidade,estado,telefone,email,status
166,Fogaça,Mendonça,70.231.589/0001-14,Tecnologia,Softwares,Grande,Cunha Grande,PR,+55 77 2591-3651,erocha@costela.gov.br,Inativo
167,Ramos Jesus S/A,Aparecida Cardoso - EI,92.854.016/0001-80,Marketing,Marketing,Média,da Luz,SP,+55 75 8699-0413,epereira@cavalcante.net,Ativo
168,Peixoto,Vieira Pacheco S.A.,98.415.237/0001-38,Marketing,Marketing,Pequena,da Conceição,PE,49 6210-3886,gaelcavalcanti@pimenta.gov.br,Ativo
169,Viana - EI,Borges - ME,28.065.341/0001-64,Logística,Fretes,Média,Sampaio,SP,0500 637 6599,limajoao-felipe@mendes.com.br,Ativo
170,Barros da Paz - EI,da Cunha,30.846.751/0001-94,Escritório,Materiais de Escritório,Pequena,Sales,SP,28 6512-6944,xnunes@rodrigues.br,Ativo
171,Jesus Novaes - EI,Cavalcanti,58.726.493/0001-21,Logística,Fretes,Grande,Sousa Grande,MG,+55 51 3721-3865,castroheloisa@borges.br,Ativo
172,Borges,da Luz S.A.,51.093.624/0001-31,Tecnologia,Softwares,Grande,Vasconcelos,MG,+55 73 7703-8430,luccarocha@fonseca.gov.br,Ativo
173,Castro S/A,Vasconcelos,65.934.102/0001-20,Transporte,Fretes,Grande,Borges,ES,16 8955-4393,kguerra@da.br,Ativo
174,Novais S/A,Fernandes,18.476.239/0001-06,Financeiro,Serviços Financeiros,Grande,Vargas de da Cruz,SC,37 7790-7141,yporto@rocha.com.br,Ativo
175,Jesus,Moreira,80.412.935/0001-14,Tecnologia,Softwares,Grande,Barbosa da Prata,SP,+55 74 7553-9423,msousa@sousa.net,Ativo
176,Costa da Cruz - EI,Cassiano,19.856.302/0001-94,Jurídico,Serviços Jurídicos,Média,Mendes,PE,48 9579-4728,isabella39@aragao.br,Ativo
177,Montenegro Ltda.,Rodrigues,27.154.396/0001-88,Telefonia,Telefonia,Grande,Albuquerque,PR,+55 85 6915-5942,renan47@fonseca.com,Ativo
178,Lima,Leão Sampaio Ltda.,56.431.792/0001-03,Energia,Energia,Grande,Brito,RS,13 3866-3227,cavalcantilaura@carvalho.com.br,Inativo
179,Viana,da Rosa,48.037.156/0001-73,Logística,Fretes,Grande,Melo do Campo,MG,79 5455-8845,jesusjoaquim@rocha.gov.br,Ativo
180,Oliveira Oliveira e Filhos,Vasconcelos da Paz Ltda.,58.769.301/0001-64,Jurídico,Serviços Jurídicos,Média,Martins Grande,MG,+55 69 5699-6112,rafael55@santos.org,Ativo
181,da Mata,Vasconcelos,58.731.906/0001-66,Tecnologia,Softwares,Grande,Ribeiro,SP,+55 97 1326-1117,alvesisabella@caldeira.gov.br,Ativo
182,Barros Rezende - ME,da Conceição,34.751.680/0001-05,Tecnologia,Softwares,Média,Ribeiro,MG,44 5778-4872,maria-alicepires@moura.gov.br,Ativo
183,Ferreira,Nogueira,31.726.950/0001-21,Tecnologia,Softwares,Média,Albuquerque do Sul,PR,99 2547-8077,antony64@vieira.br,Ativo
184,Jesus Novais - ME,da Cruz,26.819.035/0001-40,Transporte,Fretes,Pequena,Moreira,SP,13 4846-3122,henry79@da.com.br,Ativo
185,Correia,Almeida,20.817.945/0001-08,Telefonia,Telefonia,Grande,Siqueira de Albuquerque,RJ,+55 92 1207-3564,dfreitas@farias.com.br,Ativo
186,Araújo da Mata - ME,Nogueira - ME,23.468.079/0001-85,Cloud,Cloud,Grande,Gomes,SC,75 3037-1837,trodrigues@castro.gov.br,Ativo
187,Souza - EI,da Cunha - ME,43.507.168/0001-09,Tecnologia,Softwares,Média,Duarte do Sul,MG,+55 69 4916-3009,msales@freitas.net,Ativo
188,Monteiro Borges e Filhos,Teixeira,09.571.483/0001-59,Jurídico,Serviços Jurídicos,Pequena,da Conceição de Dias,SP,41 7306-5240,csantos@nogueira.com.br,Ativo
189,Correia,Nogueira Ferreira Ltda.,74.208.135/0001-83,Marketing,Marketing,Pequena,Nogueira da Praia,RJ,81 0862-0959,aurorasilveira@ribeiro.com.br,Ativo
190,Correia,Vargas,82.493.605/0001-26,Tecnologia,Softwares,Grande,Aparecida,RS,+55 55 2031-7310,fribeiro@aragao.br,Ativo
191,Pereira Silva S/A,Costela e Filhos,71.965.023/0001-89,Cloud,Cloud,Grande,Freitas do Norte,SP,12 8014-1381,silveiraravi@correia.net,Inativo
192,Nunes Pires S.A.,Souza,15.786.304/0001-01,Financeiro,Serviços Financeiros,Grande,Novaes,PE,62 8528-9755,esther66@pereira.net,Ativo
193,Garcia Vargas - EI,Fonseca,79.605.823/0001-09,Logística,Fretes,Grande,Moreira,PR,+55 61 4043-3504,gabrielandrade@fogaca.com,Ativo
194,da Luz Fonseca - EI,da Conceição da Cunha Ltda.,16.350.278/0001-29,Escritório,Materiais de Escritório,Pequena,Sales de Sampaio,GO,+55 44 9409-6105,luara61@souza.com,Ativo
195,Aragão,Moura,05.274.189/0001-24,Escritório,Materiais de Escritório,Pequena,Machado Verde,ES,95 1364-6225,melocarlos-eduardo@da.com,Ativo
196,Montenegro,Vasconcelos,29.741.368/0001-92,Transporte,Fretes,Média,Novais,MG,0300 331 4659,camargojulia@fonseca.br,Ativo
197,Duarte Ferreira - EI,Vargas Ltda.,25.741.306/0001-20,Logística,Fretes,Média,Rodrigues,SP,48 2110-3924,fernandeshenry@machado.br,Ativo
198,Farias S.A.,Costela Nogueira - EI,48.795.106/0001-55,Telefonia,Telefonia,Grande,da Cunha,RJ,+55 71 0439-4070,gomesvitor-hugo@caldeira.com,Ativo
199,Rezende,da Conceição,68.123.405/0001-50,Logística,Fretes,Média,Montenegro,RS,82 8003-8457,ksouza@ferreira.br,Ativo
200,Pires,da Costa,84.052.376/0001-30,Tecnologia,Softwares,Média,Câmara Grande,RJ,38 6216-8936,leandrolima@pereira.br,Ativo
201,Nogueira,Costela Rezende S.A.,98.361.257/0001-73,Transporte,Fretes,Média,Rezende,MG,+55 67 5188-1252,teixeiraantonella@jesus.org,Ativo
202,Souza,Cassiano,31.280.479/0001-90,Logística,Fretes,Grande,Peixoto,BA,+55 92 3051-7289,psilva@cirino.com.br,Ativo
203,Mendonça,Carvalho,23.807.691/0001-35,Marketing,Marketing,Média,Souza,SP,+55 83 3127-9757,leticiaguerra@pereira.com.br,Ativo
204,Silveira,Gonçalves,98.047.365/0001-76,Telefonia,Telefonia,Grande,Moreira,SP,0900 608 6803,lunna64@martins.com,Ativo
205,da Rocha,Sales - EI,27.805.463/0001-87,Transporte,Fretes,Grande,Gonçalves,PE,65 5702-7937,da-cunhaayla@silva.com,Ativo
206,Santos - ME,Barros,86.234.905/0001-41,Transporte,Fretes,Grande,Nunes Grande,MG,+55 68 2206-4474,isaaccardoso@abreu.com,Ativo
207,Monteiro,Nogueira,07.314.856/0001-80,Jurídico,Serviços Jurídicos,Pequena,Barros de Peixoto,RJ,+55 12 3849-8302,danielrezende@andrade.com,Ativo
208,Rios - EI,Farias,10.937.526/0001-56,Financeiro,Serviços Financeiros,Média,Marques,SP,45 0145-5616,da-rochamaria-julia@campos.br,Ativo
209,Moura,Sampaio Costela - EI,01.835.427/0001-72,Transporte,Fretes,Pequena,da Luz do Galho,RJ,43 2997-8772,amandacorreia@campos.br,Ativo
210,Sousa S.A.,Jesus,05.847.192/0001-90,Financeiro,Serviços Financeiros,Média,Sales,PR,16 4144-8850,rodriguesbrenda@goncalves.com.br,Ativo
211,Cavalcanti S.A.,Fernandes,79.051.362/0001-61,Logística,Fretes,Média,Nascimento de Farias,SC,83 6084-9588,costelabianca@azevedo.com,Ativo
212,Alves,Garcia,82.614.093/0001-09,Logística,Fretes,Média,Santos do Norte,RS,13 6173-5743,luiz-fernando15@vasconcelos.com,Ativo
213,Montenegro,Mendes - EI,23.587.491/0001-14,Transporte,Fretes,Média,Vargas,MG,+55 45 8230-7681,das-nevescaio@farias.com,Ativo
214,Moreira e Filhos,Almeida,94.321.568/0001-58,Transporte,Fretes,Média,Vargas dos Dourados,RS,+55 51 4224-1098,costelavitoria@novaes.br,Inativo
215,Casa Grande,Oliveira,32.184.690/0001-72,Logística,Fretes,Média,Alves,SP,85 0160-1662,wpimenta@farias.com.br,Ativo
216,Silva Teixeira e Filhos,Sá - ME,92.165.307/0001-60,Tecnologia,Softwares,Média,Rodrigues dos Dourados,PR,85 3329-4562,aylla77@azevedo.com,Ativo
217,Mendes,Cavalcante,45.290.381/0001-29,Transporte,Fretes,Pequena,Vieira,SC,22 8769-6393,maria-luisagomes@fernandes.com.br,Ativo
218,Viana,Nunes,58.319.074/0001-75,Tecnologia,Softwares,Grande,Duarte de Novais,SP,+55 44 7246-1919,fduarte@borges.com.br,Inativo
219,Pacheco Sá e Filhos,Sá S.A.,27.438.560/0001-89,Logística,Fretes,Grande,Rodrigues,RS,31 4946-5190,scardoso@freitas.com,Ativo
220,Santos - EI,Camargo,40.375.962/0001-40,Escritório,Materiais de Escritório,Pequena,Silva das Flores,SP,63 6683-2723,afonseca@da.com,Ativo
221,Barbosa e Filhos,Casa Grande e Filhos,76.201.349/0001-53,Financeiro,Serviços Financeiros,Grande,Pinto da Serra,SP,81 8687-6532,apereira@siqueira.net,Ativo
222,Jesus,Andrade,07.594.368/0001-74,Logística,Fretes,Média,Martins do Galho,MG,+55 38 8913-7189,caue58@melo.edu.br,Ativo
223,Oliveira,Leão,54.810.723/0001-85,Financeiro,Serviços Financeiros,Média,Araújo do Amparo,ES,+55 71 9049-0471,mirellabarbosa@da.com,Ativo
224,da Mota,Albuquerque,12.853.796/0001-04,Energia,Energia,Grande,Mendonça,RS,+55 75 8051-2927,yvargas@ribeiro.gov.br,Ativo
225,Costela Oliveira e Filhos,Aragão,41.083.596/0001-18,Tecnologia,Softwares,Média,Souza de Sá,PE,0800 366 7428,salbuquerque@garcia.gov.br,Ativo
226,Moura,Brito - EI,56.428.901/0001-33,Transporte,Fretes,Grande,Martins de Goiás,PR,+55 81 8525-8001,jesusgael-henrique@rodrigues.br,Ativo
227,Silveira da Paz Ltda.,Andrade Alves - EI,10.345.867/0001-32,Tecnologia,Softwares,Grande,Garcia,MG,+55 77 1244-7174,qsales@da.com,Ativo
228,da Mota S/A,Gomes,50.462.138/0001-80,Tecnologia,Softwares,Grande,Costa de Pimenta,SP,55 2712-8639,macedovalentim@andrade.com,Ativo
229,Vasconcelos,Almeida,72.095.386/0001-73,Tecnologia,Softwares,Média,Gonçalves Verde,MG,+55 11 8776-6183,gomesmaria-luisa@nunes.br,Ativo
230,Rodrigues,Guerra,01.542.938/0001-04,Tecnologia,Softwares,Grande,Cavalcanti,MG,+55 22 6346-1571,msousa@andrade.com.br,Ativo
231,Mendonça Gomes S/A,Monteiro,87.092.653/0001-26,Marketing,Marketing,Pequena,Guerra,GO,+55 51 3878-2931,sousajoao-miguel@rezende.com,Ativo
232,Pinto,da Cruz e Filhos,20.958.761/0001-68,Transporte,Fretes,Média,Pastor,RJ,+55 33 1179-9313,zfernandes@duarte.com,Ativo
233,Duarte Vieira S.A.,Pastor S.A.,51.827.396/0001-86,Energia,Energia,Grande,Novaes da Serra,GO,74 3902-1962,mendoncaenrico@abreu.com,Ativo
234,Leão,Sales,23.957.481/0001-23,Tecnologia,Softwares,Média,Cavalcanti,BA,+55 21 9279-1456,novaisravy@campos.gov.br,Inativo
235,Teixeira,Martins Vargas e Filhos,34.017.698/0001-70,Logística,Fretes,Média,Castro,MG,+55 24 0543-6459,gaparecida@nascimento.com,Ativo
236,Mendonça - EI,Barbosa S.A.,75.618.290/0001-30,Logística,Fretes,Média,da Conceição do Campo,RS,+55 93 6363-1797,lopesjoao-vitor@pimenta.br,Ativo
237,Carvalho,Silveira,35.412.608/0001-08,Transporte,Fretes,Média,da Mota,MG,+55 61 1776-2534,luigioliveira@borges.br,Inativo
238,Pastor Melo - ME,Albuquerque,63.827.419/0001-31,Logística,Fretes,Média,Oliveira,SP,+55 12 6007-8068,zmendes@machado.net,Ativo
239,Novais S/A,Cunha,25.418.076/0001-62,Marketing,Marketing,Média,Castro dos Dourados,GO,+55 17 7726-2570,gomesbrenda@da.com.br,Ativo
240,Sampaio,Viana Rodrigues S/A,95.048.273/0001-12,Financeiro,Serviços Financeiros,Média,Fonseca dos Dourados,PR,+55 22 5528-1832,rhavi81@sousa.com.br,Ativo
241,Sá Souza S.A.,Fogaça,48.620.571/0001-55,Telefonia,Telefonia,Grande,Mendonça de Montenegro,MG,0300 178 8479,davi-lucca37@barros.com,Ativo
242,Barbosa,Cavalcante Ltda.,12.796.405/0001-67,Cloud,Cloud,Grande,Rodrigues da Prata,MG,+55 55 7567-0431,da-conceicaoraquel@jesus.gov.br,Ativo
243,Rezende,Mendonça,98.732.416/0001-07,Cloud,Cloud,Grande,Vieira,SC,+55 99 3754-0254,ncavalcante@silva.com,Ativo
244,Santos Sales e Filhos,Castro da Costa S/A,05.237.819/0001-90,Transporte,Fretes,Grande,Rios,SP,31 5257-8284,alvesjade@vargas.com,Ativo
245,Dias,Abreu Sousa - EI,85.432.719/0001-54,Marketing,Marketing,Média,Fernandes de Sales,SP,+55 48 7028-1406,maitefogaca@duarte.gov.br,Ativo
246,Pacheco Moura S.A.,Costa,01.756.934/0001-10,Financeiro,Serviços Financeiros,Média,Dias de Pereira,RJ,96 0562-6565,da-pazcatarina@das.br,Ativo
247,Cunha e Filhos,Sousa,67.415.380/0001-04,Financeiro,Serviços Financeiros,Média,Casa Grande,GO,+55 85 4785-1961,jesusyago@cavalcanti.edu.br,Ativo
248,Santos,Costa Cirino - ME,48.702.951/0001-39,RH,Recursos Humanos,Média,Câmara de Alves,PR,+55 11 2447-1462,psales@alves.br,Ativo
249,Peixoto e Filhos,Pacheco,76.458.301/0001-25,Tecnologia,Softwares,Grande,da Luz,SP,+55 68 9025-7252,da-mataeloah@porto.br,Inativo
250,da Rocha Ltda.,Moraes S.A.,21.947.568/0001-94,Financeiro,Serviços Financeiros,Média,Brito da Prata,ES,43 2028-4576,luan13@montenegro.com.br,Ativo
251,Leão - ME,Camargo S.A.,07.528.613/0001-45,Transporte,Fretes,Média,Cavalcanti da Mata,SP,+55 18 1322-3423,emanuellima@barbosa.com.br,Ativo
252,Sá,Aparecida,31.065.478/0001-23,Transporte,Fretes,Pequena,da Cunha,PR,+55 24 1401-1939,leorios@alves.com,Ativo
253,Souza da Mota - EI,Fogaça,28.346.059/0001-55,Transporte,Fretes,Pequena,Moura,BA,+55 87 3428-0138,sfonseca@macedo.com,Ativo
254,Garcia,Cunha,83.602.794/0001-90,Logística,Fretes,Grande,Monteiro,MG,45 4801-5716,maria-alice94@camara.edu.br,Ativo
255,da Rocha,Correia,17.590.386/0001-31,Logística,Fretes,Grande,Moreira de Ribeiro,MG,+55 41 1266-9121,miguel53@campos.net,Ativo
256,Silveira,da Mota,94.623.851/0001-34,Transporte,Fretes,Pequena,Casa Grande dos Dourados,SP,+55 47 1477-3201,azevedomelina@cavalcanti.gov.br,Ativo
257,Cassiano,Pinto,91.854.360/0001-06,Tecnologia,Softwares,Grande,Ribeiro do Amparo,SP,91 8485-8800,ycampos@dias.com.br,Ativo
258,Macedo,Andrade,02.451.379/0001-81,Tecnologia,Softwares,Grande,Silva das Flores,RJ,89 1978-8977,nataliaaraujo@da.br,Ativo
259,Pimenta,Vargas,45.079.613/0001-02,Jurídico,Serviços Jurídicos,Pequena,Sousa Verde,MG,+55 17 5616-5565,ribeirosamuel@da.gov.br,Ativo
260,Sales S/A,Camargo,52.048.739/0001-77,Energia,Energia,Grande,Nunes do Galho,SC,67 4079-0569,kduarte@mendonca.com.br,Ativo
261,Fernandes Monteiro - EI,Cavalcante,94.531.602/0001-19,Jurídico,Serviços Jurídicos,Pequena,da Paz,SP,11 0496-3919,pastorbarbara@azevedo.gov.br,Ativo
262,Lima,Ferreira Vieira S/A,48.935.720/0001-75,Transporte,Fretes,Grande,Guerra Paulista,RS,97 7820-8297,maria-helenada-mata@nunes.com.br,Ativo
263,Moreira S.A.,Martins,23.956.781/0001-98,Marketing,Marketing,Pequena,Azevedo do Oeste,SP,65 4424-9363,cassianomatheus@da.br,Ativo
264,Novais,Lima,03.271.965/0001-07,RH,Recursos Humanos,Média,Ramos,SP,+55 22 7001-5941,qfonseca@goncalves.com.br,Ativo
265,da Costa Camargo - EI,Moreira e Filhos,98.430.157/0001-51,Cloud,Cloud,Grande,Pacheco das Flores,SP,+55 93 6321-2347,lda-cunha@mendonca.br,Ativo
266,Dias - EI,Melo,34.279.680/0001-46,RH,Recursos Humanos,Pequena,Sousa,SP,+55 28 3486-4518,luisagomes@goncalves.org,Ativo
267,Sá S.A.,Costela,27.568.301/0001-72,Logística,Fretes,Grande,Vasconcelos,SC,91 7656-1248,fogacalaura@marques.com.br,Ativo
268,Teixeira S/A,Pires Macedo e Filhos,20.615.943/0001-36,Telefonia,Telefonia,Grande,Camargo,SP,+55 67 3829-6577,vicentecavalcanti@da.net,Inativo
269,Leão Ltda.,Gonçalves Garcia - EI,30.845.617/0001-79,RH,Recursos Humanos,Média,Costa de da Luz,SC,+55 71 0696-9421,luigi91@silva.br,Ativo
270,Rocha,Campos,39.862.571/0001-70,Financeiro,Serviços Financeiros,Grande,Lopes,SP,+55 84 9343-6262,da-rochavinicius@pinto.br,Ativo
271,Barros,Melo S.A.,56.397.820/0001-13,Logística,Fretes,Média,Novais,SP,+55 32 0537-5990,da-cunhamirella@da.br,Ativo
272,Cardoso,Pacheco S.A.,42.783.109/0001-92,Tecnologia,Softwares,Média,Casa Grande Paulista,RJ,+55 49 5027-4564,vinicius85@cavalcante.br,Ativo
273,Teixeira,Novais Ribeiro e Filhos,70.318.645/0001-52,Transporte,Fretes,Média,da Luz de Castro,RJ,84 6170-7587,hmonteiro@campos.net,Ativo
274,Cirino,Souza Moraes Ltda.,93.046.187/0001-45,Escritório,Materiais de Escritório,Pequena,Vargas,PR,93 1504-1659,duarteleandro@barros.com.br,Ativo
275,Marques,Peixoto,05.984.326/0001-14,Cloud,Cloud,Grande,Cunha,RJ,+55 27 4501-8961,lda-cunha@vargas.com,Inativo
276,Castro Gomes - ME,Ramos,21.436.985/0001-72,Tecnologia,Softwares,Média,Freitas,RS,97 3776-7499,wborges@freitas.gov.br,Ativo
277,Lopes Pires - ME,Aparecida - EI,57.396.182/0001-89,Tecnologia,Softwares,Média,da Rocha,SP,84 6174-2243,kda-rocha@novaes.com,Ativo
278,Moraes - ME,Brito,74.528.093/0001-68,Cloud,Cloud,Grande,Cavalcanti de Viana,SP,+55 75 6016-4597,zpinto@fernandes.com.br,Ativo
279,Cunha Cirino S/A,Rocha,16.073.845/0001-47,Escritório,Materiais de Escritório,Pequena,Marques de Sales,RJ,63 9749-9564,cardosojoao-gabriel@correia.com.br,Ativo
280,Sampaio S.A.,Costela - ME,23.675.410/0001-38,Logística,Fretes,Média,Vargas dos Dourados,SP,+55 64 7601-2277,calmeida@costa.com.br,Ativo
281,Aragão,Albuquerque,16.873.420/0001-12,Financeiro,Serviços Financeiros,Grande,Guerra de Mendonça,RJ,97 9973-0806,davi-lucas46@camargo.br,Ativo
282,Machado,Almeida,24.379.615/0001-39,Transporte,Fretes,Média,Pastor,RJ,37 9724-6657,oliverda-paz@rios.com,Ativo
283,Costa Castro - EI,Brito,67.419.803/0001-56,Logística,Fretes,Média,da Luz da Praia,MG,+55 67 2801-5619,isaquenovais@mendonca.com.br,Ativo
284,Vargas,Vargas - EI,42.150.396/0001-01,Tecnologia,Softwares,Média,Viana,SP,+55 46 8081-2135,anasantos@teixeira.edu.br,Ativo
285,Siqueira,Cassiano e Filhos,59.201.346/0001-09,Tecnologia,Softwares,Grande,Melo,PR,38 4821-4565,kevinsa@viana.net,Ativo
286,Lima Jesus - ME,Moreira,50.718.493/0001-78,Tecnologia,Softwares,Grande,Dias das Flores,MG,+55 69 6060-2908,larissa68@silveira.com.br,Ativo
287,Ferreira,da Mota - EI,92.635.178/0001-27,Logística,Fretes,Grande,Viana das Flores,RJ,+55 82 4108-5628,paulo18@moreira.br,Ativo
288,Almeida Alves - EI,da Costa,46.150.293/0001-94,Jurídico,Serviços Jurídicos,Pequena,Campos do Norte,RS,+55 53 7490-7539,clarada-rosa@rios.com.br,Ativo
289,Silva Garcia - EI,Caldeira Duarte - EI,93.580.164/0001-16,RH,Recursos Humanos,Média,Borges,RJ,+55 32 6273-7158,jpastor@da.gov.br,Ativo
290,Porto,Macedo,76.214.839/0001-94,Logística,Fretes,Média,Cardoso de Santos,SP,97 8137-7028,isaac96@campos.gov.br,Ativo
291,Aparecida,Campos Freitas Ltda.,54.830.172/0001-11,Financeiro,Serviços Financeiros,Média,Aragão da Mata,SP,16 3270-1851,leaomaria-luisa@nunes.br,Ativo
292,Viana,Melo,92.845.367/0001-24,Logística,Fretes,Média,Cassiano de Siqueira,RS,33 1996-6365,riosluisa@ramos.com,Inativo
293,Santos Alves - EI,Novais,18.974.502/0001-89,Telefonia,Telefonia,Grande,Sá,MG,86 8018-2043,liviabarros@guerra.gov.br,Ativo
294,Mendonça S/A,Lopes,26.084.931/0001-09,Marketing,Marketing,Média,Camargo,SP,+55 45 8242-2412,joana20@cirino.com,Ativo
295,da Rosa - ME,Dias S.A.,65.430.817/0001-45,Logística,Fretes,Média,Monteiro,RJ,96 8614-0578,eazevedo@jesus.net,Ativo
296,da Mata - EI,da Cruz - EI,24.630.815/0001-12,Tecnologia,Softwares,Média,Nogueira da Serra,SP,+55 95 8687-0079,lucas-gabriel00@da.gov.br,Ativo
297,Rodrigues,Ferreira,38.401.765/0001-06,RH,Recursos Humanos,Pequena,Gonçalves,PR,+55 53 2846-3985,vicente74@ribeiro.net,Ativo
298,Peixoto,Almeida,20.786.139/0001-10,Transporte,Fretes,Média,Teixeira de Gonçalves,SP,0900 118 0715,wpeixoto@cavalcanti.com.br,Ativo
299,Campos - ME,Correia,70.358.246/0001-15,Logística,Fretes,Grande,Pimenta,RS,22 3375-0479,anthony-gabrielcosta@camargo.com.br,Ativo
300,Nunes,Cavalcante,83.204.169/0001-90,Marketing,Marketing,Média,Nunes de Goiás,MG,99 4308-9487,limacaua@lopes.com.br,Ativo
301,da Mota,Rodrigues - EI,79.540.186/0001-21,Cloud,Cloud,Grande,Nascimento dos Dourados,MG,28 0635-1903,pbarbosa@cavalcante.com,Ativo
302,Alves - ME,Alves,95.410.367/0001-90,Logística,Fretes,Grande,Farias,SP,99 3199-7179,barrosdavi@garcia.com.br,Ativo
303,Viana S.A.,Macedo S/A,46.105.897/0001-19,Cloud,Cloud,Grande,Guerra do Campo,RJ,65 3990-7676,fernandesbenjamim@moreira.br,Ativo
304,Caldeira Caldeira S/A,Pastor S.A.,92.483.570/0001-06,Logística,Fretes,Grande,Carvalho,SP,+55 24 0249-6854,juanmelo@pereira.br,Ativo
305,Freitas,Moreira - EI,20.346.871/0001-79,Logística,Fretes,Grande,Costa,PR,+55 83 1537-7959,ana-clara65@caldeira.br,Ativo
306,Abreu Porto S.A.,Martins Pinto S.A.,37.568.914/0001-63,Tecnologia,Softwares,Média,Abreu,PR,45 0150-8124,ocorreia@aparecida.com,Ativo
307,Costa da Paz S.A.,da Luz Silveira S.A.,58.316.097/0001-26,Transporte,Fretes,Pequena,Almeida,SP,+55 62 6153-4735,luigi89@silva.com,Ativo
308,Casa Grande S.A.,Correia Nascimento - ME,59.681.072/0001-94,Cloud,Cloud,Grande,Vieira Grande,SP,33 3042-8973,vianamaria-isis@cavalcante.br,Ativo
309,Monteiro,Cavalcanti,59.783.624/0001-75,Tecnologia,Softwares,Grande,Porto Verde,RJ,+55 21 3337-3634,kgarcia@freitas.com,Ativo
310,Sá Barros Ltda.,Moreira,53.084.921/0001-46,Logística,Fretes,Média,Martins de Lopes,MG,64 5754-6027,viniciusramos@fogaca.org,Ativo
311,Viana Ltda.,Brito Campos S/A,50.321.649/0001-82,Transporte,Fretes,Grande,Correia Grande,RJ,+55 99 0445-6690,grezende@goncalves.com.br,Inativo
312,Melo da Conceição - EI,Silveira,75.129.340/0001-16,Tecnologia,Softwares,Média,Machado de Novais,SC,+55 18 5292-4075,rael66@teixeira.com.br,Ativo
313,Duarte,Nunes S/A,29.547.631/0001-07,Tecnologia,Softwares,Grande,Gonçalves,SP,+55 33 8637-1597,francisco21@andrade.br,Ativo
314,Cirino S.A.,Gomes Ltda.,39.457.086/0001-11,Escritório,Materiais de Escritório,Pequena,Moreira do Sul,RS,+55 71 5662-1286,esouza@costela.com,Ativo
315,das Neves Lopes e Filhos,Castro,94.385.720/0001-66,Logística,Fretes,Grande,Casa Grande,SP,77 1693-8597,kmartins@sousa.org,Ativo
316,Ferreira,Gonçalves,92.617.435/0001-06,Escritório,Materiais de Escritório,Pequena,Ribeiro da Serra,GO,+55 44 6032-4841,marinajesus@freitas.com.br,Ativo
317,Montenegro Ltda.,Machado,24.380.756/0001-71,Marketing,Marketing,Média,Garcia de Fernandes,SP,62 3600-4125,dmendonca@barros.gov.br,Ativo
318,Silva Macedo S.A.,da Mota,29.047.185/0001-71,Tecnologia,Softwares,Grande,Cavalcante de Minas,PR,+55 13 4275-2308,luisasampaio@porto.gov.br,Ativo
319,Gomes e Filhos,Macedo,09.863.145/0001-90,Tecnologia,Softwares,Média,Costa,RJ,+55 43 0600-5313,rioslucas-gabriel@aparecida.com,Ativo
320,Duarte,Pinto Costela - EI,69.178.025/0001-86,Escritório,Materiais de Escritório,Pequena,Albuquerque,RS,62 5063-7314,caio13@da.com.br,Ativo
321,Caldeira,da Cunha Brito - EI,56.271.830/0001-08,Tecnologia,Softwares,Grande,Almeida Verde,RJ,77 6838-9030,das-nevesrenan@sa.net,Ativo
322,Araújo S.A.,Monteiro,43.281.057/0001-19,Telefonia,Telefonia,Grande,Sousa de Farias,RJ,+55 61 4508-6403,caroline33@rios.com.br,Ativo
323,Pereira Garcia - EI,Cirino,70.163.894/0001-16,Transporte,Fretes,Grande,Costela,SP,+55 54 1298-3381,dsilveira@cavalcante.com.br,Ativo
324,da Cruz Lima S.A.,da Rosa da Paz - EI,73.468.021/0001-00,Tecnologia,Softwares,Grande,Cavalcante do Amparo,MG,74 6896-2706,wbarros@peixoto.edu.br,Ativo
325,Novaes Siqueira S.A.,Garcia,74.923.850/0001-06,Transporte,Fretes,Pequena,Carvalho do Amparo,ES,+55 82 2300-8576,vgoncalves@gomes.br,Ativo
326,Ramos,Jesus S/A,16.293.745/0001-26,Tecnologia,Softwares,Grande,Porto de Sales,SP,47 0663-3705,sampaiojuan@pereira.br,Ativo
327,da Cunha da Cruz - EI,Albuquerque Camargo S/A,69.147.358/0001-48,Tecnologia,Softwares,Grande,Sales da Mata,RJ,94 8694-6119,joao-pedro43@sampaio.org,Ativo
328,Cavalcante - ME,Brito S/A,68.952.310/0001-40,Financeiro,Serviços Financeiros,Grande,Cirino Grande,RJ,+55 82 7281-7932,dantesouza@teixeira.com.br,Ativo
329,Macedo,Porto S.A.,14.930.257/0001-57,Logística,Fretes,Média,Pacheco,PE,+55 93 7710-0409,britootavio@garcia.edu.br,Ativo
330,Mendonça,Sá,56.927.840/0001-59,Cloud,Cloud,Grande,Rios das Flores,RJ,49 9055-1076,benjamimpereira@moura.com.br,Ativo
331,Freitas Machado - EI,Moraes,63.052.794/0001-57,Transporte,Fretes,Média,Rocha dos Dourados,MG,+55 92 9769-1567,siqueirahelena@pereira.net,Ativo
332,Moreira Oliveira e Filhos,Cardoso - ME,14.793.052/0001-77,Cloud,Cloud,Grande,da Cruz,SP,+55 86 2116-0256,pedro-lucas47@rios.edu.br,Ativo
333,Borges,Câmara,91.537.640/0001-90,Cloud,Cloud,Grande,da Luz,SP,+55 49 4111-5931,jose-miguel56@das.gov.br,Ativo
